instruction,input,output
Why shouldn’t we be too narrow in our definitions of literature?,,"We shouldn’t be too narrow in our definitions because a style of literature that has tickled the human fancy for thousands of years, like ancient myths, still holds value and can thrill us, even if it is not in accord with modern reality."
Who is the author of the drama 'Chandalika'?,,Rabindranath Tagore
What award did Rabindranath Tagore receive in 1913?,,Nobel Prize for Literature
What is the central theme of Rabindranath Tagore's plays?,,The unfolding of character and the opening up of the soul to enlightenment.
Who is Ananda in the drama 'Chandalika'?,,Ananda is the famous disciple of the Buddha.
What caste does the chandalika belong to in the drama?,,The lowest untouchable caste.
What does the chandalika offer to Ananda?,,Water
What transformation does the chandalika experience after meeting Ananda?,,She is awakened to a consciousness of her full rights as a woman and rises up as a full human being.
What does the chandalika force her mother to do to Ananda?,,Exercise her art of magic on Ananda.
How is Ananda saved from the magic spell?,,The Buddha hears his prayer and breaks the magic spell.
What is the ultimate redemption of the chandalika in the drama?,,"She is purged of the pride and egoism that made her forget that love does not claim possession, but gives freedom."
Who is Girish Karnad?,,"Girish Karnad is a contemporary writer, playwright, actor, and movie director."
What awards has Girish Karnad received?,,"Girish Karnad is a recipient of the Padma Shri (1974), Padma Bhushan (1992), and the Jnanpith Award (1998)."
In which languages does Girish Karnad write?,,Girish Karnad writes in both Kannada and English.
What themes does Girish Karnad's plays often explore?,,Girish Karnad's plays generally use history and mythology to focus on contemporary issues.
What is Manjula Nayak's profession?,MANJULA: Namaskara. I am Manjula Nayak.,Manjula Nayak is a renowned Kannada short-story writer and a former lecturer in English.
What was Manjula Nayak's first novel written in?,ANNOUNCER: ...by writing a novel. Her first novel. In English! The River Has No Memories.,Manjula Nayak's first novel was written in English.
Why did Manjula Nayak choose to write her novel in English?,MANJULA: ...I wrote the novel in English because it burst out in English. It surprised even me.,"Manjula Nayak wrote her novel in English because it came out naturally in English, surprising even her."
How did Manjula Nayak's British publishers react to her novel?,MANJULA: ‘We like your book because it’s so Indian. We receive any number of manuscripts from India but they are all written with the western reader in view. Your novel has the genuine Indian feel!’,"Manjula Nayak's British publishers liked her book because it had a genuine Indian feel, unlike other manuscripts they received from India."
What accusation did Manjula Nayak face regarding her choice to write in English?,MANJULA: I have been accused of writing for foreign readers. Accused! As though I had committed a crime.,"Manjula Nayak was accused of writing for foreign readers, as though it were a crime."
What did the President of the Central Sahitya Akademi say about Indian writers who write in English?,MANJULA: ...declared that Indians who write in English do so in order to make money.,The President of the Central Sahitya Akademi declared that Indians who write in English do so to make money.
What is the title of the textbook mentioned in the text?,,KALEIDOSCOPE Textbook in English (Elective) for Class XII
Who is the Chief Editor of the textbook?,,Shveta Uppal
What is the ISBN number of the textbook?,,81-7450-663-2
What is the price of the textbook as printed on the page?,,` 145.00
Which organization published the textbook?,,National Council of Educational Research and Training (NCERT)
"What is the main principle recommended by the National Curriculum Framework, 2005?",,Linking children's life at school to their life outside the school
Name one of the contemporary writers included in the fiction section of the textbook.,,Gabriel Garcia Marquez
Which essay by George Bernard Shaw is included in the non-fiction section?,,Freedom
How many poems from the classical tradition are included in the textbook?,,Four
What is the theme of the play 'Chandalika' by Tagore?,,The intense conflict in the mind of a sensitive untouchable girl.
What does the protagonist claim to have discovered at Grand Central Station?,,The protagonist claims to have discovered a third level at Grand Central Station.
How did the psychiatrist explain the protagonist's experience at Grand Central Station?,,The psychiatrist explained it as a 'waking-dream wish fulfillment' due to the protagonist's desire to escape from the modern world's insecurities and fears.
What did the protagonist notice about the people and the environment on the third level?,,"The protagonist noticed that everyone was dressed in 1890s fashion, there were gaslights, brass spittoons, and a small, old-fashioned locomotive."
